연번,군구명,병원종별,의료기관명,소재지,연락처,병실수,병상수,진료과목,비고
1035,연수구,의원,세원정형외과의원,"인천광역시 연수구 인천타워대로54번길 9, 에몬스프라자 505,506호 (송도동)",032-421-6530,5,19,정형외과 내과 재활의학과,
1036,연수구,의원,메디모아의원,"인천광역시 연수구 경원대로 184, 2층 (동춘동, 이마트연수점)",032-816-1575,0,0,소아청소년과 내과 피부과 이비인후과,
1037,연수구,의원,코아이비인후과의원,"인천광역시 연수구 컨벤시아대로 69, 송도 밀레니엄 4층 409,413호 (송도동)",032-834-9009,2,2,이비인후과,
1038,연수구,의원,송도스타피부과의원,"인천광역시 연수구 컨벤시아대로 69, 401호 (송도동, 밀레니엄빌딩)",032-434-2286,0,0,피부과,
1039,연수구,의원,이화웰봄소아청소년과의원,"인천광역시 연수구 인천타워대로54번길 13, 해승메디피아 2층 (송도동)",032-833-7119,0,0,피부과 이비인후과 안과 소아청소년과 산부인과 정신건강의학과 내과,
1040,연수구,의원,정부순의원,인천광역시 연수구 해돋이로 102 (송도동),032-872-2754,0,0,내과 소아청소년과 피부과,
1041,연수구,의원,솔이산부인과의원,"인천광역시 연수구 독배로 35 (옥련동,IF빌딩 4층)",032-834-1118,4,4,가정의학과 산부인과 소아청소년과 내과,
1042,연수구,의원,해사랑마취통증의학과의원,"인천광역시 연수구 청능대로 103, 3층 (연수동, BYC빌딩)",032-822-7580,0,0,내과 외과 정형외과 마취통증의학과,
1043,연수구,의원,마음속내과의원,"인천광역시 연수구 독배로40번길 11, 401,402,403호 (옥련동, 효명프라자)",032-831-2208,0,0,내과 산부인과 소아청소년과,
1044,연수구,의원,도담이비인후과의원,"인천광역시 연수구 원인재로 312, 3층 304호 (연수동, 대림상가)",032-814-7582,0,0,내과 소아청소년과 이비인후과,
1045,연수구,의원,차지현정신건강의학과의원,"인천광역시 연수구 청능대로 109, 5층 (연수동, 탑피온빌딩)",032-821-2001,0,0,신경과 정신건강의학과,
1046,연수구,의원,성모신경외과의원,"인천광역시 연수구 용담로 115, 파크타워 4층 402,403호 (연수동)",032-819-8274,0,0,재활의학과 마취통증의학과 신경외과 정형외과 외과 내과,
1047,연수구,의원,신이비인후과의원,"인천광역시 연수구 용담로 11, 2층 (청학동)",032-818-8288,0,0,소아청소년과 안과 이비인후과,
1048,연수구,의원,모아소아청소년과.가정의학과의원,"인천광역시 연수구 앵고개로264번길 30-4, 201호 (동춘동, 영남프라자)",032-818-1365,0,0,내과 소아청소년과 이비인후과 피부과 가정의학과,
1049,연수구,의원,연수우리내과의원,"인천광역시 연수구 학나래로6번길 35, 4층 (선학동)",032-814-7746,0,0,내과 소아청소년과,
1050,연수구,의원,송도이.이.주내과의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 801,802호 (송도동)",032-858-3114,0,0,내과 소아청소년과,
1051,연수구,의원,PNC안과의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 808,809호 (송도동)",032-858-2201,0,0,내과 소아청소년과 안과,
1052,연수구,의원,에코이비인후과의원,"인천광역시 연수구 신송로 121, 405호 (송도동, 센타프라자)",032-851-3232,0,0,이비인후과 가정의학과,
1053,연수구,의원,송도내과의원,"인천광역시 연수구 해돋이로120번길 16, 201호 (송도동, 송도신도시풍림아이원 2단지 상가)",032-851-7505,0,0,내과 소아청소년과 이비인후과 피부과 비뇨의학과,
1054,연수구,의원,권도승정형외과의원,"인천광역시 연수구 비류대로 208, 비류프라자 2층 201호 (옥련동)",032-834-5626,0,0,내과 외과 정형외과 신경외과 마취통증의학과 비뇨의학과 영상의학과 재활의학과,
1055,연수구,의원,한마음의원,"인천광역시 연수구 청학로15번길 4, 2층 (청학동)",032-831-7505,0,0,내과 외과 정형외과 소아청소년과 이비인후과 피부과 비뇨의학과,
1056,연수구,의원,이성문소아청소년과의원,"인천광역시 연수구 청능대로 103, 3층 (연수동)",032-818-9391,0,0,내과 소아청소년과 이비인후과 안과 피부과,
1057,연수구,의원,수이비인후과의원,"인천광역시 연수구 앵고개로 250, 3층 (동춘동, 연수메디칼)",032-815-8384,0,0,이비인후과,
1058,연수구,의원,성심내과의원,인천광역시 연수구 원인재로 313 (연수동),032-817-3137,0,0,내과 소아청소년과,
1059,연수구,의원,우리들소아청소년과의원,인천광역시 연수구 앵고개로 254 (동춘동),032-817-8666,0,0,내과 소아청소년과 이비인후과,
1060,연수구,의원,우리외과의원,"인천광역시 연수구 먼우금로 194, 3층 304호 (연수동, 두손메카)",032-814-9393,10,18,내과 외과 정형외과 심장혈관흉부외과 성형외과 소아청소년과 이비인후과 피부과 비뇨의학과,
1061,연수구,의원,서울가정의학과의원,"인천광역시 연수구 새말로 31, 2층 (연수동)",032-818-2119,0,0,내과 외과 정형외과 산부인과 소아청소년과 이비인후과 피부과 가정의학과,
1062,연수구,의원,연수늘밝은안과의원,"인천광역시 연수구 청능대로 210, 스퀘어원 3층 3208호 (동춘동)",032-456-4370,0,0,안과,
1063,연수구,의원,마음과마음정신과의원,"인천광역시 연수구 청능대로 103, 3층 (연수동, 비와이씨빌딩)",032-812-2004,0,0,정신건강의학과,
1064,연수구,의원,연수메디칼정형외과의원,"인천광역시 연수구 앵고개로 250, 연수메디칼빌딩 2,5층 201,501호 (동춘동)",032-819-2345,0,0,외과 정형외과 신경외과,
1065,연수구,의원,굿모닝이비인후과의원,"인천광역시 연수구 앵고개로264번길 10-1, 3층 (동춘동)",032-811-3600,1,1,이비인후과,
1066,연수구,의원,성수이비인후과의원,"인천광역시 연수구 청능대로 103, 5층 (연수동, 비와이씨빌딩)",032-819-5075,0,0,소아청소년과 이비인후과,
1067,연수구,의원,녹색중앙의원,"인천광역시 연수구 선학로68번길 4, 3층 (선학동, 중앙빌딩)",032-814-2280,0,0,내과 정형외과 소아청소년과 이비인후과 가정의학과,
1068,연수구,의원,연수함문외과의원,"인천광역시 연수구 청능대로 103, 3층 (연수동, 비와이씨)",032-821-0565,7,9,외과,
1069,연수구,의원,인하정형외과의원,"인천광역시 연수구 독배로 41, 3,4층 (옥련동, 인영프라자)",032-833-8275,5,16,내과 신경과 정형외과 성형외과 피부과 이비인후과,
1070,연수구,의원,연세꾸러기소아청소년과의원,"인천광역시 연수구 독배로40번길 43, 301호 (옥련동, 신송빌딩)",032-833-7533,0,0,내과 소아청소년과 이비인후과 피부과,
1071,연수구,의원,현대성모의원,인천광역시 연수구 함박뫼로 28 (청학동),032-816-1367,0,0,내과 소아청소년과 피부과 영상의학과,
1072,연수구,의원,손호균마취통증의학과의원,"인천광역시 연수구 앵고개로 242, 401호 (동춘동, 연수제일종합상가)",032-818-4939,0,0,정형외과 신경외과 마취통증의학과 재활의학과,
1073,연수구,의원,박소아청소년과의원,"인천광역시 연수구 용담로 11, 2층 (청학동)",032-817-7932,0,0,내과 소아청소년과 이비인후과,
1074,연수구,의원,이이주내과의원,"인천광역시 연수구 앵고개로 242, 2층 (동춘동, 연수제일상가)",032-817-7114,0,0,내과 소아청소년과,
1075,연수구,의원,이정호내과의원,"인천광역시 연수구 비류대로 429, 3층 (연수동, 영일빌딩)",032-815-0975,0,0,내과 소아청소년과 이비인후과 피부과,
1076,연수구,의원,피앤비의원,"인천광역시 연수구 한진로 23, 201호 (옥련동, 로얄프라자빌딩)",032-832-2251,0,0,내과 소아청소년과 피부과 비뇨의학과,
1077,연수구,의원,홍성표내과의원,"인천광역시 연수구 청능대로 103, 4층 (연수동, BYC건물)",032-811-5810,0,0,내과 소아청소년과 이비인후과,
1078,연수구,의원,장효죽성형외과의원,"인천광역시 연수구 앵고개로 262, 402호 (동춘동, 동경상가)",032-814-1004,0,3,성형외과,
1079,연수구,의원,현대가외의원,"인천광역시 연수구 독배로 42, 3층 (옥련동)",032-834-6653,0,0,내과 외과 소아청소년과 안과 이비인후과 피부과 비뇨의학과 가정의학과,
1080,연수구,의원,연세이비인후과의원,"인천광역시 연수구 한진로 23, 301호 (옥련동, 로얄프라자)",032-831-5666,0,0,이비인후과,
1081,연수구,의원,우리산부인과의원,인천광역시 연수구 앵고개로 254 (동춘동),032-818-5121,17,28,산부인과 마취통증의학과,
1082,연수구,의원,변피부과의원,"인천광역시 연수구 원인재로 286, 301호 (연수동, 대림아파트상가)",032-818-4333,0,0,피부과 비뇨의학과,
1083,연수구,의원,서울정형외과의원,인천광역시 연수구 비류대로433번길 3 (연수동),032-821-7600,0,0,내과 외과 정형외과 신경외과 성형외과 소아청소년과 피부과 가정의학과 영상의학과 재활의학과 비뇨의학과,
1084,연수구,의원,연세정형외과의원,인천광역시 연수구 비류대로 194 (옥련동),032-834-7000,0,0,내과 외과 정형외과 신경외과 소아청소년과 피부과 비뇨의학과 영상의학과 재활의학과,
1085,연수구,의원,부부내과의원,인천광역시 연수구 독배로40번길 29 (옥련동),032-831-1888,0,0,내과 소아청소년과,
1086,연수구,의원,제일내과의원,인천광역시 연수구 한나루로 190 (옥련동),032-832-4622,0,0,내과 소아청소년과,
1087,연수구,의원,이강범이비인후과의원,"인천광역시 연수구 독배로 41, 3층 10호 (옥련동, 인영빌딩)",032-831-8275,0,0,이비인후과,
1088,연수구,의원,한솔내과의원,인천광역시 연수구 용담로 131 (연수동),032-818-1888,0,0,내과 소아청소년과,
1089,연수구,의원,연수이안과의원,인천광역시 연수구 앵고개로 250 (동춘동),032-814-9480,0,0,안과,
1090,연수구,의원,이상대내과의원,"인천광역시 연수구 앵고개로 250, 연수메디칼빌딩 404,405호 (동춘동)",032-819-2342,0,0,내과 소아청소년과 이비인후과,
1091,연수구,의원,최대경여성의원,인천광역시 연수구 앵고개로 250 (동춘동),032-813-1616,3,3,성형외과 산부인과 피부과,
1092,연수구,의원,김운호피부과의원,인천광역시 연수구 앵고개로 250 (동춘동),032-813-9212,0,0,피부과 비뇨의학과,
1093,연수구,의원,박무헌정신과의원,"인천광역시 연수구 앵고개로 250, 3층 (동춘동, 연수메디칼빌딩)",032-819-2178,0,0,신경과 정신건강의학과,
1094,연수구,의원,연세비뇨기과의원,"인천광역시 연수구 앵고개로 242, 407,408호 (동춘동, 연수제일상가)",032-819-5521,0,0,피부과 비뇨의학과,
1095,연수구,의원,이상영가정의학과의원,"인천광역시 연수구 비류대로 437, 2층 (연수동, 청보빌딩)",032-819-3636,0,0,내과 소아청소년과 이비인후과 피부과 가정의학과,
1096,연수구,의원,웅내과의원,"인천광역시 연수구 학나래로118번길 9, 205호 (선학동, 선학프라자)",032-819-7575,0,0,내과 소아청소년과,
1097,연수구,의원,김지현피부과의원,"인천광역시 연수구 청능대로 103, 4층 (연수동, 비와이씨빌딩)",032-817-8083,0,0,피부과 비뇨의학과,
1098,연수구,의원,현대의원,"인천광역시 연수구 원인재로 14, 2층 (동춘동, 무지개마을상가)",032-816-7981,0,0,내과 외과 정형외과 소아청소년과 이비인후과 피부과 비뇨의학과 가정의학과,
1099,연수구,의원,박호연의원,"인천광역시 연수구 원인재로 180, 309-313호 (연수동, 우성2차상가)",032-817-7180,0,0,내과 외과 정형외과 소아청소년과 비뇨의학과,
1100,연수구,의원,한빛이비인후과의원,"인천광역시 연수구 용담로 115, 3층 (연수동)",032-817-2888,2,2,가정의학과 피부과 이비인후과,
1101,연수구,의원,연수김안과의원,"인천광역시 연수구 컨벤시아대로 165, 포스코타워-송도 3,5,6,7층 (송도동)",032-817-3487,2,8,안과,
1102,연수구,의원,서비뇨기과의원,"인천광역시 연수구 청능대로 103, 5층 (연수동, 비와이씨빌딩)",032-816-3069,0,0,비뇨의학과,
1103,연수구,의원,선이비인후과의원,인천광역시 연수구 샘말로7번길 7 (연수동),032-817-1500,2,3,안과 이비인후과,
1104,연수구,의원,유기수내과의원,"인천광역시 연수구 원인재로 88, 307호 (동춘동, 대우삼환상가)",032-815-7991,0,0,내과 소아청소년과,
1105,연수구,의원,연수성심의원,"인천광역시 연수구 먼우금로 88, 301,302호 (동춘동, 상산빌딩)",032-812-8258,0,0,내과 소아청소년과,
1106,연수구,의원,주일중소아청소년과의원,"인천광역시 연수구 먼우금로 302, 201호 (연수동, 연수동유천상가)",032-815-0209,0,0,소아청소년과,
1107,연수구,의원,이든의원,"인천광역시 연수구 선학로 101, 2층 (선학동, 뉴서울아파트상가)",032-815-0590,0,0,내과 외과 소아청소년과 이비인후과 피부과 비뇨의학과,
1108,연수구,의원,연세의원,"인천광역시 연수구 원인재로 315, 204호 (연수동, 주공상가)",032-813-1291,0,0,내과 정형외과 소아청소년과 영상의학과 병리과,
1109,연수구,의원,연수의원,"인천광역시 연수구 원인재로 212 (연수동, 시영1차상가)",032-812-7575,0,0,내과 소아청소년과 이비인후과,
1110,연수구,의원,김웅철산부인과의원,인천광역시 연수구 용담로 135 (연수동),032-814-5252,0,0,산부인과,
1111,연수구,의원,한림의원,인천광역시 연수구 한나루로196번길 3 (옥련동),032-831-8883,0,0,내과 소아청소년과,
1112,연수구,치과의원,송도아인스치과의원,"인천광역시 연수구 하모니로 124, 5층 503호 (송도동)",032-833-2833,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1113,연수구,치과의원,서울조이치과의원,"인천광역시 연수구 해돋이로151번길 4, 6층 603호 (송도동)",032-834-2870,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1114,연수구,치과의원,삼성바이오치과의원,"인천광역시 연수구 송도바이오대로 300, 바이오프라자 3층 일부호 (송도동)",032-821-2876,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1115,연수구,치과의원,포레스트치과의원,"인천광역시 연수구 랜드마크로 20, 111동 2층 209, 210호 (송도동, 호반써밋 송도)",032-831-2870,0,0,통합치의학과 예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1116,연수구,치과의원,리봄치과의원,"인천광역시 연수구 하모니로178번길 22, 604~608호 (송도동)",032-235-2879,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1117,연수구,치과의원,서울아미치과교정과치과의원,"인천광역시 연수구 하모니로178번길 22, 404호 (송도동)",032-710-2895,0,0,치과교정과,
1118,연수구,치과의원,소망치과의원,"인천광역시 연수구 새말로 88, 2층 (연수동)",032-822-2874,0,0,치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1119,연수구,치과의원,바르게고치과의원,"인천광역시 연수구 하모니로178번길 6, 송도중앙타워 6층 609,610,611호 (송도동)",032-833-2175,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1120,연수구,치과의원,송도원치과의원,"인천광역시 연수구 해돋이로151번길 4, 인피니티타워 204호 (송도동)",032-710-2704,0,0,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과 통합치의학과,
1121,연수구,치과의원,브레인치과의원,"인천광역시 연수구 해돋이로 160-19, 카리스프라자 4층 406호 (송도동)",032-214-2888,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1122,연수구,치과의원,송도트리플치과의원,"인천광역시 연수구 송도과학로16번길 33-3, 송도 트리플스트리트 C동 2층 일부호 (송도동)",032-282-7528,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1123,연수구,치과의원,커낼여름치과보존과치과의원,"인천광역시 연수구 아트센터대로 131, 커낼워크D2 SUMMER 202동 228호 (송도동)",032-832-2879,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1124,연수구,치과의원,송도이앤이치과의원,"인천광역시 연수구 센트럴로 415, 힐스테이트 송도 더테라스 판매시설동 244,245,246호 (송도동)",032-719-2177,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1125,연수구,치과의원,송도나음치과의원,"인천광역시 연수구 아트센터대로168번길 100, 한라 웨스턴파크 송도 F동 235호 (송도동)",032-833-2828,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1126,연수구,치과의원,연수바른치과의원,"인천광역시 연수구 앵고개로 266, 한양2차아파트(롯데슈퍼) 1층 일부호 (동춘동)",032-255-2828,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1127,연수구,치과의원,유펜아리조나치과교정과치과의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 405일부호, 406호 (송도동)",032-710-2077,0,0,치과교정과,
1128,연수구,치과의원,송도봄치과의원,"인천광역시 연수구 해돋이로 168-15, 글로벌시티프라자 503,504호 (송도동)",032-832-2822,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1129,연수구,치과의원,김태건치과의원,"인천광역시 연수구 해돋이로 168-2, 301호 (송도동)",032-851-2828,0,0,치과보존과 구강병리과 구강악안면외과 통합치의학과 치주과 치과교정과 소아치과 영상치의학과 구강내과 치과보철과 예방치과,
1130,연수구,치과의원,투유치과의원,"인천광역시 연수구 신송로 154, 더 제니스 303,304호 (송도동)",032-229-2879,0,0,통합치의학과 예방치과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1131,연수구,치과의원,송도바른치과의원,"인천광역시 연수구 해돋이로 165, 차오름 프라자 404호 (송도동)",032-713-8283,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1132,연수구,치과의원,루아어린이치과의원,"인천광역시 연수구 신송로 161, 송도 하이츠 309,310호 (송도동)",032-217-2879,0,0,통합치의학과 소아치과,
1133,연수구,치과의원,송도윤치과의원,"인천광역시 연수구 해돋이로 168, 혜인프라자 302호 (송도동)",032-252-2828,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1134,연수구,치과의원,이턱플란트치과의원,"인천광역시 연수구 하모니로 158, 송도타임스페이스 A동 401,402호 (송도동)",032-831-7525,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1135,연수구,치과의원,랜드마크치과의원,"인천광역시 연수구 랜드마크로 68, 301동 270,271호 (송도동, 랜드마크시티센트럴더샵)",032-831-2822,0,0,통합치의학과 예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1136,연수구,치과의원,클린연세치주과치과의원,"인천광역시 연수구 신송로 168, 이든프라자 403호 (송도동)",032-212-9700,0,0,예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1137,연수구,치과의원,친절한이치과의원,"인천광역시 연수구 랜드마크로 68, 258,259,260호 (송도동, 랜드마크시티센트럴더샵)",032-710-2825,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1138,연수구,치과의원,하나어린이치과의원,"인천광역시 연수구 센트럴로 194, A동 228호 (송도동, 더샵 센트럴파크2)",032-710-0003,0,0,예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1139,연수구,치과의원,서울오라치과의원,"인천광역시 연수구 앵고개로264번길 10-1, 아촌빌딩 4층 (동춘동)",032-812-2875,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1140,연수구,치과의원,송도요셉치과의원,"인천광역시 연수구 아트센터대로 87, 커낼워크D4 WINTER 402동 219,220호 (송도동)",032-282-8119,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1141,연수구,치과의원,서울바른치과교정과치과의원,"인천광역시 연수구 신송로 160, 넥서스 203,204호 (송도동)",032-831-2080,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1142,연수구,치과의원,연세제일치과의원,"인천광역시 연수구 먼우금로 190, 연수프라자 404호 (연수동)",032-815-2275,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1143,연수구,치과의원,인천베스트치과의원,"인천광역시 연수구 독배로40번길 21, 유한빌딩 201호 (옥련동)",032-212-7528,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1144,연수구,치과의원,민트치과의원,"인천광역시 연수구 앵고개로104번길 4, 준빌딩 3층 301호 (동춘동)",032-831-2885,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1145,연수구,치과의원,송도굿모닝치과의원,"인천광역시 연수구 랜드마크로 113, 203,204,205호 (송도동, e편한세상 송도)",032-461-2080,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1146,연수구,치과의원,송도웰치과의원,"인천광역시 연수구 송도문화로28번길 28, 203동 2층 3-206호 (송도동, 송도글로벌캠퍼스푸르지오)",032-262-2828,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1147,연수구,치과의원,연세아이웰어린이치과의원,"인천광역시 연수구 하모니로 158, 송도타임스페이스 A동 B04호 (송도동)",032-233-2828,0,0,소아치과,
1148,연수구,치과의원,지안하늘치과의원,"인천광역시 연수구 센트럴로 263, IBS타워 7층 (송도동)",032-713-7974,0,0,예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1149,연수구,치과의원,이종훈치과교정과치과의원,"인천광역시 연수구 센트럴로 194, A동 225호 (송도동, 더샵 센트럴파크2)",032-851-2879,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1150,연수구,치과의원,서울미시간치과의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 404호,405일부호, 406일부호 (송도동)",032-858-2280,0,0,예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1151,연수구,치과의원,박성철그리고치과의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 310호 (송도동)",032-834-7575,0,0,예방치과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1152,연수구,치과의원,송도스마일치과의원,"인천광역시 연수구 컨벤시아대로230번길 42, 송도아라플라자 311호 (송도동)",032-834-2070,0,0,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 예방치과 통합치의학과,
1153,연수구,치과의원,연세세이브치과의원,"인천광역시 연수구 컨벤시아대로230번길 42, 송도아라플라자 204호 (송도동)",032-859-7528,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1154,연수구,치과의원,강남365치과의원,"인천광역시 연수구 송도국제대로 157, 오네스타 501~505, 509, 608, 609-1호 (송도동)",032-817-3650,0,0,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 예방치과 통합치의학과,
1155,연수구,치과의원,송도하버치과의원,"인천광역시 연수구 해돋이로 168-7, 203호 (송도동, 레드원프라자)",032-721-7528,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1156,연수구,치과의원,오즈치과교정과치과의원,"인천광역시 연수구 신송로 161, 송도 하이츠 807호 (송도동)",032-833-2882,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1157,연수구,치과의원,연세커낼치과의원,"인천광역시 연수구 아트센터대로 149, 102동 212호 (송도동, 커낼워크D1 SPRING)",032-833-2804,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1158,연수구,치과의원,서울스마트치과의원,"인천광역시 연수구 송도미래로 30, E동 205, 206호 (송도동, 송도 BRC 스마트밸리 지식산업센터)",032-258-2828,0,0,통합치의학과 예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1159,연수구,치과의원,연세바른이치과의원,"인천광역시 연수구 하모니로36번길 1, 2층 (송도동, 자인갤러리)",032-833-5552,0,0,예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1160,연수구,치과의원,서울이도원치과의원,"인천광역시 연수구 송도과학로27번길 55, B동 307, 308호 (송도동, 롯데캐슬캠퍼스타운)",032-818-2875,0,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1161,연수구,치과의원,송도캠퍼스치과의원,"인천광역시 연수구 송도과학로27번길 55, A동 303, 304호 (송도동, 롯데캐슬캠퍼스타운)",032-813-2879,0,0,구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1162,연수구,치과의원,연수새움치과의원,"인천광역시 연수구 먼우금로 189, 309, 310, 311호 (청학동, 소망글로벌)",032-231-5656,0,0,예방치과 영상치의학과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1163,연수구,치과의원,스카이치과의원,"인천광역시 연수구 먼우금로 194, 메카오피스텔 204호 (연수동)",032-818-2828,0,0,구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1164,연수구,치과의원,e-편한치과의원,"인천광역시 연수구 원인재로 180, 303호 (연수동, 연수우성2차아파트)",032-812-7528,0,0,예방치과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과,
1165,연수구,치과의원,신세계정치과의원,"인천광역시 연수구 센트럴로 160, 101동 208호 (송도동, 송도센트럴파크푸르지오)",032-851-2082,0,0,치과,
1166,연수구,치과의원,옥련서울치과의원,"인천광역시 연수구 독배로40번길 35 (옥련동, 대명빌딩)",032-832-2804,0,0,치과,
1167,연수구,치과의원,서울본치과의원,"인천광역시 연수구 컨벤시아대로130번길 14, 305,306호 (송도동, 메디플러스)",032-833-2281,0,0,치과,
1168,연수구,치과의원,달콤어린이치과의원,"인천광역시 연수구 컨벤시아대로230번길 54, 415,416호 (송도동)",032-833-8279,0,0,소아치과,
1169,연수구,치과의원,엘리샤인터내셔널치과의원,"인천광역시 연수구 인천타워대로132번길 34, 502호 (송도동)",032-831-0027,0,0,구강악안면외과 소아치과 구강내과 예방치과 구강악안면외과 소아치과 구강내과 예방치과 치과보철과 치주과 구강악안면방사선과 치과 치과보철과 치주과 영상치의학과 치과교정과 치과보존과 구강병리과 치과교정과 치과보존과 구강병리과,
